"ID","Total_Count","OpCodes_List","min_depth","max_depth","frequency"
"Pterasteridae.Hymenaster.sp3",1,"NC3_BK1_8000",8000,8000,1
"Radiozoa.Tuscaridium",4,"NC1_BK1_6200, NC2_BK1_3200, NC2_BK2_3800",3273,6233,3
"Relicanthidae.Relicanthus.daphneae",1,"NC2_BK1_3200",3273,3273,1
"Relicanthidae.Relicanthus.sp1",7,"NC4_BK2_4700, NC4_BK6_4700",4635,4734,2
"Rhopalonematidae",3,"NC1_BK1_6200",6233,6233,1
"Rhopalonematidae.sp1",2,"NC1_BK1_6200, NC3_BK2_6000",6014,6233,2
"Rhopalonematidae.sp2",2,"NC1_BK1_6200",6233,6233,1
"Rossellidae.Caulophacus",1,"NC3_BK2_6000",6014,6014,1
"Rossellidae.Caulophacus.sp1",3,"NC2_BK3_7400, NC3_BK2_6000",6014,7369,2
"Rossellidae.Caulophacus.sp2",1,"NC4_BK6_4700",4635,4635,1
"Rossellidae.Sympagella",7,"NC3_BK2_6000, NC3_BK3_6000, NC4_BK4_4700",4675,6014,3
"Rossellidae.Sympagella.sp1",1,"NC2_BK5_4600",4630,4630,1
"Sabellidae",208,"NC1_BK2_6700, NC2_BK2_3800, NC2_BK4_5300, NC2_BK5_4600, NC3_BK3_6000, NC3_BK4_8000, NC4_BK2_4700",3791,7985,7
"Scalpellidae.Alcockianum sp.sp1",5,"NC2_BK2_3800",3791,3791,1
"Schizopathidae",6,"NC2_BK4_5300, NC2_BK5_4600, NC4_BK6_4700",4630,5272,3
"Schizopathidae.sp1",1,"NC2_BK5_4600",4630,4630,1
"Schizopathidae.sp2",4,"NC4_BK2_4700",4734,4734,1
"Schizopathidae.sp3",5,"NC2_BK5_4600, NC4_BK2_4700",4630,4734,2
"Solasteridae.Lophaster.sp1",2,"NC2_BK1_3200",3273,3273,1
"Solasteridae.sp1",1,"NC4_BK4_4700",4675,4675,1
"Stephanoberycidae.Abyssoberyx",1,"NC4_BK6_4700",4635,4635,1
"Synallactidae",16,"NC1_BK2_6700, NC3_BK2_6000, NC4_BK2_4700, NC4_BK4_4700, NC4_BK6_4700",4635,6682,5
"Synallactidae.On down facing cam",1,"NC3_BK2_6000",6014,6014,1
"Synallactidae.Paelopatides.sp1",1,"NC3_BK2_6000",6014,6014,1
"Synallactidae.sp1",3,"NC4_BK4_4700",4675,4675,1
"Synallactidae.sp2",1,"NC2_BK4_5300",5272,5272,1
"Synallactidae.sp3",7,"NC3_BK2_6000",6014,6014,1
"Synallactidae.sp4",1,"NC3_BK2_6000",6014,6014,1
"Synaphobranchidae",1,"NC2_BK1_3200",3273,3273,1
"Torquaratoridae",5,"NC1_BK2_6700, NC2_BK3_7400, NC4_BK2_4700",4734,7369,3
"Torquaratoridae.sp2",2,"NC2_BK1_3200, NC2_BK3_7400",3273,7369,2
"Torquaratoridae.sp3",2,"NC1_BK2_6700",6682,6682,1
"Tuscaroridae",7,"NC1_BK2_6700, NC1_BK3_8000, NC2_BK3_7400, NC3_BK4_8000, NC4_BK3_6900",6682,7989,5
"Ulmaridae",260,"NC1_BK1_6200, NC1_BK2_6700, NC1_BK3_8000, NC2_BK1_3200, NC2_BK2_3800, NC2_BK3_7400, NC3_BK3_6000, NC3_BK4_8000, NC4_BK3_6900",3273,7989,9
"Ulmaridae.sp1",203,"NC1_BK3_8000, NC2_BK3_7400, NC3_BK1_8000, NC3_BK2_6000, NC3_BK4_8000, NC4_BK3_6900",6014,8000,6
"Ulmaridae.sp3",1,"NC2_BK1_3200",3273,3273,1
"Ulmaridae.sp4",1,"NC4_BK6_4700",4635,4635,1
"Umbellulidae.Umbellula",29,"NC2_BK1_3200",3273,3273,1
"Umbellulidae.Umbellula.Alfie check",1,"NC4_BK3_6900",6974,6974,1
"Umbellulidae.Umbellula.sp1",43,"NC2_BK1_3200, NC2_BK2_3800",3273,3791,2
"Umbellulidae.Umbellula.sp2",1,"NC4_BK3_6900",6974,6974,1
"Umbellulidae.sp1",1,"NC4_BK4_4700",4675,4675,1
"Virgulariidae.Virgularia.sp1",369,"NC2_BK1_3200",3273,3273,1
